CCG13CDH,CCG13CD,CCG13NM,similar_ccg_1,similar_ccg_2,similar_ccg_3,similar_ccg_4,similar_ccg_5,similar_ccg_6,similar_ccg_7,similar_ccg_8,similar_ccg_9,similar_ccg_10
03N,E38000146,NHS Sheffield,05A,04R,11H,04V,99A,00J,10R,03A,13T,04D
01M,E38000123,NHS North Manchester,04X,01D,03G,01G,00T,00Y,06A,02R,05L,05W
01Y,E38000182,NHS Tameside and Glossop,03L,05W,00V,03R,00K,02P,01X,01F,00M,05X
03G,E38000095,NHS Leeds South and East,05W,01A,02V,00T,01D,02T,00V,01Y,01G,00M
03R,E38000190,NHS Wakefield,02P,12F,03L,02H,01Y,00K,01X,02X,01W,05H
00C,E38000042,NHS Darlington,02Q,05H,04H,03H,03Y,00X,05J,02G,02P,02E
04X,E38000013,NHS Birmingham South and Central,04C,06P,05L,01M,00Q,00Y,02R,01D,08G,00T
05X,E38000183,NHS Telford & Wrekin,02E,00K,01Y,03A,03L,05H,05J,00V,10D,09W
11N,E38000089,NHS Kernow,11X,01H,09G,11M,11J,11A,00L,02Y,06T,06L
01H,E38000041,NHS Cumbria,11N,11X,00L,02Y,09G,11M,06L,05T,06M,11J
10X,E38000167,NHS Southampton,10R,03C,06W,11H,13T,01N,09D,03F,04K,09E
10Y,E38000003,NHS Aylesbury Vale,10M,09C,10J,09L,09N,05D,09J,10H,04Q,06Q
09D,E38000021,NHS Brighton & Hove,13T,01E,10R,00J,11H,10X,04D,00P,01K,99A
10L,E38000087,NHS Isle of Wight,07J,03T,09P,06M,09F,03D,05F,10A,02Y,00L
99E,E38000007,NHS Basildon and Brentwood,12A,12D,09J,10J,05J,01R,07H,06Q,09X,05Q
03V,E38000037,NHS Corby,01F,00V,01Y,05X,02D,01X,03L,02E,02A,04E
04V,E38000201,NHS West Leicestershire,06T,03W,03Q,09N,04R,01R,05T,04D,06Q,05G
05G,E38000126,NHS North Staffordshire,04J,05V,04H,00L,03K,06D,01R,02Q,03Y,06T
09L,E38000054,NHS East Surrey,09X,10J,09J,10M,12D,99E,04N,10Y,99H,12A
05V,E38000173,NHS Stafford and Surrounds,99D,05G,03D,04N,04J,01C,06Y,06D,04H,07K
09N,E38000067,NHS Guildford and Waverley,03W,04N,06Y,09X,06Q,99K,01R,04Q,99D,10Y
04E,E38000103,NHS Mansfield & Ashfield,02P,01X,99C,02H,00K,03Y,00X,03L,02X,03X
11X,E38000150,NHS Somerset,11N,11M,99N,11A,01H,06L,09G,05T,02Y,04R
08J,E38000090,NHS Kingston,08T,11C,09H,99M,12D,07M,08G,08F,10C,09Y
08K,E38000092,NHS Lambeth,08Q,07T,08L,08C,08W,08X,07P,08D,08A,08M
08T,E38000179,NHS Sutton,07N,09H,02A,08F,07Q,08J,07M,12D,99G,05P
03L,E38000141,NHS Rotherham,01Y,00K,02P,01X,03R,02H,12F,05W,02X,01F
00N,E38000163,NHS South Tyneside,01T,01X,00P,99C,99G,12F,03Y,04E,10E,02P
02H,E38000205,NHS Wigan Borough,00K,02P,03R,04E,02X,03L,02E,01X,99C,01Y
05A,E38000038,NHS Coventry and Rugby,11H,03A,03N,04R,05W,08G,00T,03F,01E,03R
10M,E38000110,NHS Newbury and District,09C,10Y,10J,09L,07H,05D,09X,04Q,01R,09N
10N,E38000114,NHS North & West Reading,02D,07H,99M,02V,10J,11C,00V,02A,10M,99G
99Q,E38000152,NHS South Devon and Torbay,03T,02M,02F,09F,06T,06M,04J,06D,10V,05T
02Y,E38000052,NHS East Riding of Yorkshire,05T,00L,05R,04J,06M,07K,06Y,06L,05N,99D
03Q,E38000188,NHS Vale of York,04V,04D,02Y,11E,05T,09N,02F,06T,05R,09E
04C,E38000097,NHS Leicester City,04X,05L,00W,00Q,07Y,07W,08G,06P,10W,00Y
03F,E38000085,NHS Hull,05W,01G,01Y,00P,00M,00K,03L,01F,03R,02P
10R,E38000137,NHS Portsmouth,10X,13T,06W,03F,00J,09D,01G,11H,09E,03A
10W,E38000160,NHS South Reading,10X,11H,01E,01N,04K,10R,02V,05A,08G,03C
11A,E38000198,NHS West Hampshire,11M,99N,11X,06Q,03W,09G,06L,06K,11N,05T
10V,E38000154,NHS South Eastern Hampshire,11T,99F,01C,01R,06D,10K,06T,05Q,05T,05P
06Q,E38000106,NHS Mid Essex,99N,03W,06F,09X,06L,99E,10J,99H,09N,10H
00J,E38000116,NHS North Durham,04D,05G,13T,06W,09E,04V,06T,03H,02F,02P
07J,E38000203,NHS West Norfolk,10L,09P,06M,05F,10A,03T,03D,02Y,09F,00L
09C,E38000002,NHS Ashford,10M,10Y,05D,10D,02T,07H,04Q,10J,01R,02N
09E,E38000029,NHS Canterbury and Coastal,11E,00J,01K,04D,03Q,06W,04V,02F,01E,06T
10A,E38000156,NHS South Kent Coast,06M,03K,09P,04H,00L,07J,05T,05D,04D,02Q
00X,E38000034,NHS Chorley and South Ribble,05J,05H,02E,00C,02Q,04H,03Y,02P,01R,04L
10D,E38000180,NHS Swale,05D,02T,09C,03H,00C,03K,05X,04H,05H,02Q
05Q,E38000153,NHS South East Staffs and Seisdon and Peninsular,05J,04L,04Y,12A,01R,03X,10K,05H,00X,02E
09G,E38000036,NHS Coastal West Sussex,11N,11X,11A,99Q,02Y,06T,04J,11J,00L,03T
08P,E38000140,NHS Richmond,99M,10N,11C,10C,11D,08T,09Y,08J,10J,07Q
99C,E38000127,NHS North Tyneside,04L,04E,03X,01X,00X,00N,01W,03Y,02P,02H
01T,E38000161,NHS South Sefton,00N,01X,00P,12F,10E,03H,02P,03L,02G,01F
01N,E38000158,NHS South Manchester,10X,01G,03F,13T,10R,99A,04K,05W,00M,01J
01D,E38000080,"NHS Heywood, Middleton & Rochdale",00T,00Y,02R,05W,00M,00V,01Y,03G,05Y,01A
00W,E38000032,NHS Central Manchester,04K,04C,04X,01M,10W,01N,05L,07R,08W,08A
02A,E38000187,NHS Trafford,05P,01W,99G,00V,02E,08F,05C,05J,99E,12D
03C,E38000096,NHS Leeds West,10X,04K,09E,01K,09D,10R,06W,11H,00J,03N
05L,E38000144,NHS Sandwell and West Birmingham,13P,04X,04C,06P,01M,06A,08G,02R,08W,08N
06A,E38000210,NHS Wolverhampton,05Y,05W,00T,08G,01Y,01D,02A,03L,05A,03A
99P,E38000129,"NHS North, East, West Devon",11J,06H,10Q,11N,11M,11X,01H,04G,11A,04R
07G,E38000185,NHS Thurrock,04F,09W,09J,07N,09H,12D,10G,09L,05X,03A
09W,E38000104,NHS Medway,09J,03A,05X,12D,02E,99E,00K,10D,05J,06F
06P,E38000102,NHS Luton,10T,08N,04X,08G,03J,02R,00Y,05L,07Y,00Q
03K,E38000122,NHS North Lincolnshire,04H,05D,02Q,10A,00C,00X,03Y,01R,05G,05H
03X,E38000058,NHS Erewash,04L,04Y,99C,05Q,03Y,05J,00X,05H,04M,04E
99M,E38000118,NHS North East Hampshire and Farnham,10J,11C,11D,10H,10G,99E,12D,99H,12A,10C
99K,E38000081,NHS High Weald Lewes Havens,04Q,06Y,99D,07K,03D,05T,04N,11T,05R,03E
99F,E38000030,"NHS Castle Point, Rayleigh and Rochford",10V,10K,05Q,04M,05P,04L,01C,11T,03X,12A
00L,E38000130,NHS Northumberland,04J,02Y,05T,05N,10A,05G,06M,03T,03K,06L
01K,E38000093,NHS Lancashire North,09E,11E,01E,09D,03C,06W,00J,02F,04D,10X
01A,E38000050,NHS East Lancashire,02T,03G,00T,01E,05W,01D,00Y,00M,02R,01Y
01E,E38000065,NHS Greater Preston,01A,02V,00M,03G,05W,02T,04D,03H,02G,01Y
10E,E38000184,NHS Thanet,03H,00C,02G,02Q,01T,01X,03Y,00N,04H,10A
05R,E38000164,NHS South Warwickshire,05T,03E,02Y,03W,01C,11T,99K,99D,07K,06Y
10C,E38000178,NHS Surrey Heath,11D,10G,12A,99M,10K,11C,99F,99H,09X,12D
04Y,E38000028,NHS Cannock Chase,03X,04L,05Q,05J,00X,02E,04E,03Y,99C,05H
02Q,E38000008,NHS Bassetlaw,03Y,00C,04H,00X,03H,03K,05H,02P,05J,02G
10Q,E38000136,NHS Oxfordshire,06H,04G,11M,04R,99P,11X,06N,06K,11N,06F
03M,E38000145,NHS Scarborough and Ryedale,09P,06M,07J,10A,10L,03T,05F,02N,04D,03E
09H,E38000039,NHS Crawley,12D,08T,10G,09J,02A,05X,03A,05J,02E,99E
07Q,E38000023,NHS Bromley,99E,08F,09Y,99H,10H,12D,12A,07N,02A,09J
07R,E38000027,NHS Camden,09A,08H,10X,10R,00W,11H,09D,01N,08Y,04K
08F,E38000077,NHS Havering,05C,07Q,05P,07N,02A,10K,99E,04L,12A,05Q
07Y,E38000084,NHS Hounslow,07W,08N,08G,08R,08E,06P,10T,04X,08W,07P
08H,E38000088,NHS Islington,08Y,08X,08C,08D,07R,09A,07T,08V,08L,07P
08Q,E38000171,NHS Southwark,08K,07T,08L,08C,08W,07P,08A,08D,08X,08H
01J,E38000091,NHS Knowsley,00M,00R,01F,00P,01T,05W,03F,01D,03V,01Y
09A,E38000031,NHS Central London (Westminster),07R,08Y,09D,10R,08H,10X,08X,11H,03C,08C
00T,E38000016,NHS Bolton,01D,02R,00Y,00V,00M,05W,01Y,03G,01A,05Y
00V,E38000024,NHS Bury,01Y,02A,03L,99G,02E,05X,00T,05H,02D,03V
03J,E38000121,NHS North Kirklees,00Y,02R,05Y,09H,01D,00Q,00T,03A,06P,05X
00K,E38000075,NHS Hartlepool and Stockton-on-Tees,02H,02X,02P,03L,04E,03R,01Y,02E,05X,01X
02E,E38000194,NHS Warrington,05J,05H,00X,02P,05X,00C,01R,02H,05Q,00K
05Y,E38000191,NHS Walsall,06A,02R,03J,03L,01Y,00T,05W,01D,00Y,03A
11E,E38000009,NHS Bath and North East Somerset,09E,03Q,02F,01K,04D,06W,06T,04V,03E,05T
11J,E38000045,NHS Dorset,11N,09G,11X,99P,11M,11A,01H,06H,99N,04R
03Y,E38000071,NHS Hardwick,02Q,00C,04H,00X,04E,05H,03X,02P,04L,03H
02D,E38000189,NHS Vale Royal,02G,01R,05H,05J,02E,00C,00V,10V,07H,04H
04F,E38000107,NHS Milton Keynes,07G,09H,12D,10G,07M,08T,07N,07Q,99M,09J
10H,E38000033,NHS Chiltern,99H,10J,06F,06Q,99M,99E,07H,09Y,03W,09X
06N,E38000079,NHS Herts Valleys,06K,04G,06F,10H,09Y,04R,06Q,07Q,11M,07H
10J,E38000120,NHS North Hampshire,99M,10M,09L,99E,09X,10H,07H,12D,06Q,10Y
09F,E38000055,"NHS Eastbourne, Hailsham and Seaford",02M,03T,10L,99Q,07J,06M,06V,04J,05G,06D
06M,E38000063,NHS Great Yarmouth & Waveney,10A,03T,07J,09P,02Y,05T,10L,00L,04J,06T
09J,E38000043,"NHS Dartford, Gravesham and Swanley",99E,09W,12D,09L,03A,06F,05D,12A,10Y,05J
02M,E38000060,NHS Fylde & Wyre,99Q,09F,06D,03T,01C,01V,10V,11T,10L,04J
07K,E38000204,NHS West Suffolk,06Y,03D,05F,04Q,99K,99D,05N,02Y,06L,05T
05N,E38000147,NHS Shropshire,00L,03D,07K,05F,02Y,06Y,04J,06L,99D,05V
05J,E38000139,NHS Redditch and Bromsgrove,02E,05H,00X,01R,05Q,04L,00C,04H,04Y,03X
07M,E38000005,NHS Barnet,08T,07N,08G,04F,07Q,08J,09H,09J,09Y,10H
07N,E38000011,NHS Bexley,08T,08F,07Q,09H,07M,09J,07G,02A,12D,99E
07V,E38000040,NHS Croydon,08A,07X,08D,08W,07P,08L,07M,07L,08R,08G
08C,E38000070,NHS Hammersmith and Fulham,08X,08H,07T,08R,08K,08Q,08W,07W,07R,07P
08E,E38000074,NHS Harrow,08N,08G,07Y,07M,10T,07W,08J,06P,08T,08R
08R,E38000105,NHS Merton,07Y,07W,08T,08G,08P,08X,10N,08J,08W,07M
01X,E38000172,NHS St Helens,02P,01T,03L,04E,00N,12F,01Y,99C,03R,05H
01W,E38000174,NHS Stockport,99G,02A,12F,99C,05P,03R,01X,05C,03L,02E
02N,E38000001,"NHS Airedale, Wharfedale and Craven",02T,10A,05D,09C,03E,07H,04Q,06M,05T,04H
02W,E38000018,NHS Bradford City,10T,04X,06P,00Q,04C,08N,05L,03J,08V,00Y
00M,E38000162,NHS South Tees,05W,00P,01Y,03L,00T,01G,01T,03R,00V,03F
13P,E38000012,NHS Birmingham CrossCity,05L,05A,02R,00T,06A,08G,04X,05Y,00Y,01D
05P,E38000149,NHS Solihull,02A,01W,10V,08F,99E,99G,05C,99F,05H,05J
11T,E38000125,NHS North Somerset,01C,10V,99D,05T,01R,06D,05R,09X,99K,03W
12D,E38000181,NHS Swindon,09H,99E,12A,09J,05J,10J,02E,09L,10G,99M
06H,E38000026,NHS Cambridgeshire and Peterborough,10Q,04G,99P,11M,04R,06K,06N,11J,11X,11A
11H,E38000022,NHS Bristol,05A,10X,09D,10R,03N,03F,99A,06W,00P,01G
04R,E38000169,NHS Southern Derbyshire,06F,04G,06K,11M,99N,04V,06Q,11X,03R,06L
04J,E38000115,NHS North Derbyshire,00L,05G,05T,02Y,06T,03T,01C,06D,04H,05V
07H,E38000197,NHS West Essex,99E,10J,06F,10H,06Q,05T,01R,02T,09C,02D
09P,E38000076,NHS Hastings & Rother,07J,06M,10A,10L,03M,03T,05F,00L,09F,02Y
04G,E38000108,NHS Nene,04R,06K,06N,06F,11M,06H,10Q,11X,99N,06Q
03D,E38000069,"NHS Hambleton, Richmondshire and Whitby",05F,99D,07K,06Y,05N,04Q,05V,99K,10L,02Y
03E,E38000073,NHS Harrogate and Rural District,05R,99K,04Q,05T,99D,02Y,11T,02F,01C,06Y
06Y,E38000159,NHS South Norfolk,07K,99K,99D,04Q,03D,02Y,04N,05F,06L,05T
02G,E38000200,NHS West Lancashire,00C,05H,02D,03H,04H,02Q,01R,02F,10E,01X
06L,E38000086,NHS Ipswich and East Suffolk,99N,05T,07K,06Y,02Y,99J,06Q,03W,11X,00L
05H,E38000195,NHS Warwickshire North,05J,02E,00X,01R,00C,04H,02Q,02P,02G,03H
07P,E38000020,NHS Brent,08W,07W,07V,08A,08D,07Y,08R,08L,05L,08N
08D,E38000072,NHS Haringey,08A,07V,08L,08W,07X,07P,07T,08H,08X,07L
08N,E38000138,NHS Redbridge,10T,08E,06P,08G,07Y,07W,07M,04X,05L,03J
08X,E38000193,NHS Wandsworth,08C,08R,08H,08Y,08D,07W,07P,08W,11H,07Y
12F,E38000208,NHS Wirral,03R,01X,00P,03L,01W,02P,01T,02H,00D,99C
02P,E38000006,NHS Barnsley,00K,02X,04E,01X,02H,03R,03L,03H,00D,05H
02X,E38000044,NHS Doncaster,00K,02P,00D,02H,03L,03R,04E,03H,01Y,03K
00Y,E38000135,NHS Oldham,02R,01D,00T,00Q,03J,05Y,01A,03G,00V,02T
02R,E38000019,NHS Bradford Districts,00Y,00T,01D,05Y,03J,00Q,01A,03G,00V,05W
02T,E38000025,NHS Calderdale,05D,10D,09C,03A,02N,07H,05H,03H,01A,00C
04K,E38000132,NHS Nottingham City,03C,10X,01N,00W,10W,10R,99A,11H,03N,05A
05F,E38000078,NHS Herefordshire,03D,07K,07J,05N,06Y,02Y,10L,04Q,10A,06M
01R,E38000151,NHS South Cheshire,05H,04H,05J,05Q,00X,10V,05T,11T,02D,02E
06F,E38000010,NHS Bedfordshire,06Q,04R,06K,99J,10H,07H,99N,09J,04G,99E
11C,E38000207,"NHS Windsor, Ascot and Maidenhead",99M,10J,11D,10C,09N,10H,12D,12A,99E,02D
06K,E38000049,NHS East and North Hertfordshire,06F,04R,06N,04G,06Q,11M,99N,99J,11A,09Y
06W,E38000131,NHS Norwich,00J,00N,09E,10R,06T,10X,02F,04V,13T,00P
99H,E38000177,NHS Surrey Downs,09X,10H,09Y,12A,06Q,03W,99E,10J,09L,11D
05D,E38000053,NHS East Staffordshire,03K,10D,04H,09C,02T,04Q,10A,01R,00C,09J
04M,E38000134,NHS Nottingham West,04L,03X,99F,06D,10K,99C,10V,01V,05Q,05P
04L,E38000133,NHS Nottingham North & East,03X,05Q,99C,04Y,05J,00X,03Y,05H,04M,06D
09X,E38000083,NHS Horsham and Mid Sussex,99H,09L,04N,03W,12A,11T,10J,06Q,99E,09N
13T,E38000212 ,NHS Newcastle Gateshead,00J,01G,10R,03F,01T,00P,00N,03H,05W,06W
